Name	Sales	Score
Watch Dogs	8.03	8.1
Call of Duty: Advanced Warfare	18.20	8.4
Destiny	7.1	8.2
Infamous: Second Son	2.19	8.6
Far Cry 4	3.43	9.0
Wolfenstein: The New Order	2.7	8.6
Dragon Age: Inquisition	3.5	9.4
Dark Souls II	1.81	8.7
Assassin's Creed: Unity	5.9	8.1
Titanfall	4.27	8.0
Grand Theft Auto V	47.21	9.7
The Last of Us	8.27	9.8
Bioshock Infinite	4.0	9.4
Assassin's Creed IV	12.04	9.1
Batman: Arkham Origins	4.91	8.7
Beyond: Two Souls	1.60	8.9
Call of Duty: Ghosts	25.40	6.9
Battlefield 4	12.25	8.0
Dead Space 3	1.99	8.0
The Wolf Among Us	.21	9.1
Mass Effect 3	5.48	9.2
Assasin's Creed III	13.93	8.5
Far Cry 3	7.16	9.1
Max Payne 3	3.79	8.9
The Walking Dead: The Game	1.6	9.2
Call of Duty: Black Ops 2	28.14	8.1
Sleeping Dogs	2.27	8.4
Halo 4	9.41	8.6
Dishonored	3.56	8.5
Borderlands 2	6.31	8.9
Skyrim	18.11	9.6
Batman: Arkham City	10.59	9.6
Call of Duty: MW3	30.40	8.2
L.A. Noire	5.93	8.9
Uncharted 3	6.64	9.3
Portal 2	4.34	9.6
Battlefield 3	17.07	8.4
Saints Row: The Third	5.49	8.3
Gears of War 3	6.13	8.7
Crysis 2	3.28	8.1
Mass Effect 2	4.87	9.6
Red Dead Redemption	14.59	9.5
Call of Duty: Black Ops	30.7	8.4
Assasin's Creed: Brotherhood	6.78	9.0
Heavy Rain	2.96	9.2
Fallout: New Vegas	7.74	8.8
Mafia II	3.29	8.5
God of War III	4.77	9.3
Bioshock II	3.8	8.4
Halo: Reach	9.71	8.6
Call of Duty: MW2	24.76	8.9
Batman: Arkham Asylum	7.84	9.4
Assassin's Creed II	16.3	9.2
Uncharted II	6.57	9.6
Dragon Age: Origins	4.79	9.2
Minecraft	18.9	8.6
Infamous	2.87	8.2
Borderlands	5.5	8.9
Grand Theft Auto IV	22.08	9.2
Fallout 3	9.37	9.3
Metal Gear Solid 4	5.95	9.6
Call of Duty: World at War	17.16	8.3
Dead Space	3.8	9.0
Far Cry 2	3.43	8.6
Mirror's Edge	2.33	7.9
Star Wars: The Force Unleashed	10.8	8.2
Call of Duty 4	17.93	9.2
Mass Effect	3.4	9.4
Assasins Creed	11.2	6.4
Bioshock	4.6	9.3
Halo 3	12.02	8.8
Uncharted	4.83	9.0
Crysis	.7	8.6
God of War II	8.83	9.5
The Elder Scrolls IV: Oblivion	7.54	9.2
Gears of War	6.07	8.8
Hitman: Blood Money	1.05	9.0
The Legend of Zelda: Twilight Princess	8.67	9.2
The Godfather	2.21	8.3
Bully	.94	8.6
Final Fantasy XII	5.95	8.4
Call of Duty 3	7.47	7.3
Batman Begins	1.09	8.2
Resident Evil 4	7.54	9.1
God of War	4.45	9.3
Kingdom Hearts II	5.1	9.4
Need for Speed: Most Wanted	5.37	8.7
Star Wars: Battlefront II	6.60	8.7
Call of Duty 2	6.14	8.8
Grand Theft Auto: Liberty City Stories	11.2	8.1
Grand Theft Auto: San Andreas	20.81	9.5
Half Life 2	2.98	9.6
Metal Gear Solid 3	4.88	9.1
Halo 2	9.26	8.7
World of Warcraft	10.09	8.4
Spider-Man 2	5.99	7.6
The Sims 2	4.2	8.7
Star Wars: Battlefront	5.3	8.4
Max Payne 2	2.0	9.1
Terminator 3: Rise of the Machines	.78	6.3
Final Fantasy X-2 	5.29	7.3
Manhunt	1.46	8.6
Need for Speed: Underground	10.5	7.9
The Simpsons: Hit & Run	7.04	8.2
Mario Kart: Double Dash!!	6.95	8.4
Star Wars: Knights of the Old Republic	2.29	9.6
Grand Theft Auto: Vice City	16.15	9.4
Kingdom Hearts	6.40	9.4
Mafia 1	.70	9.1
Splinter Cell	3.02	8.5
Elder Scrolls III: Morrowwind	2.86	9.0
The Legend of Zelda: The Wind Waker	4.60	9.0
Super Mario Sunshine	6.31	8.6
Metroid Prime	2.82	8.9
Harry Potter and the Chamber of Secrets	7.63	7.4
Grand Theft Auto III	13.10	9.0
Max Payne	3.31	9.4
Halo	6.43	8.9
Metal Gear Solid 2	6.05	9.1
Final Fantasy X	8.05	9.2
Silent Hill 2	1.28	9.4
Super Smash Bros Melee	7.07	9.1
The Simpsons:Road Rage	3.61	7.8
The Grinch	.52	5.7
Majoras Mask	3.36	9.0
Final Fantasy IX	5.30	8.9
Diablo 2	2.86	9.1
The Sims	11.24	8.2
Perfect Dark	2.52	8.9
Age of Empires II	2.77	8.9	
Tony Hawk Pro Skater II	4.68	8.4


